23.6029453 +35.1913109 AND  O
23.5357132 +35.1897736 AND  I
23.4684925 +35.1880264 AND  I
23.4012642 +35.1860695 AND  I
23.3340359 +35.1838989 AND  I
23.2668228 +35.1815186 AND  I
23.1996002 +35.1789322 AND  I
23.1323795 +35.1761322 AND  I
23.0651703 +35.1731300 AND  I
22.9979553 +35.1699181 AND  I
22.9643536 +35.1682358 AND  O
22.9640121 +36.1682281 AND  I
22.9636593 +37.1682205 AND  I
22.9632988 +38.1682091 AND  I
22.9629288 +39.1682014 AND  I
22.9625473 +40.1681900 AND  I
22.9621544 +41.1681786 AND  I
22.9617500 +42.1681709 AND  I
22.9613323 +43.1681557 AND  I
22.9608994 +44.1681480 AND  I
22.9604530 +45.1681366 AND  I
22.9599895 +46.1681252 AND  I
22.9595108 +47.1681137 AND  I
22.9590130 +48.1681023 AND  I
22.9584942 +49.1680870 AND  I
22.9579544 +50.1680717 AND  I
22.9573917 +51.1680603 AND  I
22.9568043 +52.1680412 AND  I
22.9561901 +53.1680298 AND  O
23.0238838 +53.1713676 AND  I
23.0915947 +53.1744957 AND  I
23.1593113 +53.1774216 AND  I
23.2270184 +53.1801338 AND  I
23.2947426 +53.1826363 AND  I
23.3624706 +53.1849251 AND  I
23.4301929 +53.1870041 AND  O
23.4305458 +52.1870117 AND  I
23.4308815 +51.1870155 AND  I
23.4310455 +50.6870193 AND  O
23.4986877 +50.6888847 AND  I
23.5663319 +50.6905365 AND  I
23.6339684 +50.6919746 AND  I
23.6847038 +50.6929131 AND  O
23.6848907 +49.6929131 AND  I
23.6850719 +48.6929169 AND  O
23.7526550 +48.6939774 AND  I
23.8202400 +48.6948280 AND  I
23.8878155 +48.6954613 AND  I
23.9554024 +48.6958809 AND  I
 0.0229885 +48.6960831 AND  I
 0.0905643 +48.6960716 AND  I
 0.1074647 +48.6960373 AND  I
 0.1074640 +48.6960373 AND  I
 0.1750507 +48.6957550 AND  I
 0.2426267 +48.6952629 AND  I
 0.2764245 +48.6949348 AND  O
 0.2763196 +47.6949348 AND  I
 0.2762186 +46.6949348 AND  O
 0.3437310 +46.6941185 AND  I
 0.4112523 +46.6930885 AND  I
 0.4787721 +46.6918449 AND  I
 0.5462801 +46.6903877 AND  I
 0.6137962 +46.6887169 AND  I
 0.6813101 +46.6868362 AND  I
 0.7488112 +46.6847420 AND  I
 0.8163198 +46.6824379 AND  I
 0.8838252 +46.6799202 AND  I
 0.9513171 +46.6771965 AND  I
 0.9850718 +46.6757545 AND  O
 0.9854900 +47.6757469 AND  I
 0.9859245 +48.6757393 AND  O
 1.0534713 +48.6726990 AND  I
 1.1210239 +48.6694489 AND  I
 1.1885718 +48.6659966 AND  I
 1.2392272 +48.6632690 AND  O
 1.2397984 +49.6632500 AND  I
 1.2403936 +50.6632347 AND  O
 1.3079867 +50.6594200 AND  I
 1.3755841 +50.6553993 AND  I
 1.4431757 +50.6511765 AND  I
 1.4938624 +50.6478767 AND  O
 1.5614324 +50.6433029 AND  I
 1.6290057 +50.6385307 AND  I
 1.6965717 +50.6335640 AND  I
 1.7641202 +50.6283989 AND  I
 1.7979016 +50.6257439 AND  O
 1.7970439 +49.6257782 AND  I
 1.7962207 +48.6258125 AND  I
 1.7954293 +47.6258430 AND  O
 1.8628778 +47.6203957 AND  I
 1.9303292 +47.6147575 AND  I
 1.9977728 +47.6089287 AND  I
