0:Sol
88:TAU Phe
122:TET Oct
145:29 Psc
154:30 Psc
171:85 Peg
183:ZET Scl
186:31 Psc
194:c Psc:32 Psc
301:2 Cet
330:9 Cas
355:3 Cet
439:Gliese 1:Cordoba 32416
443:33 Psc
476:86 Peg
531:10 Cas
664:5 Cet
677:Alpheratz:Sirrah:ALF And:21 And:DEL Peg
729:87 Peg
746:Caph:Cheph:BET Cas:11 Cas
761:KAP1 Scl
765:EPS Phe
813:34 Psc
814:GAM3 Oct
841:22 And
910:6 Cet
930:KAP2 Scl
950:TET Scl
1067:Algenib:GAM Peg:88 Peg
1086:23 And
1168:CHI Peg:89 Peg
1170:7 Cet
1196:35 Psc
1242:GJ 1005:Luyten 722-22
1292:GJ 3021
1319:36 Psc
1366:TET And:24 And
1473:SIG And:25 And
1475:Gliese 15:Groombridge 34
1501:26 And
1562:Schemali:IOT Cet:8 Cet
1599:ZET Tuc
1645:d Psc:41 Psc
1647:PI Tuc
1686:RHO And:27 And
1708:IOT Scl
1772:42 Psc
1803:9 Cet
1960:12 Cas
2006:44 Psc
2021:BET Hyi:Gliese 19
2072:KAP Phe
2081:Ankaa:ALF Phe
2100:10 Cet
2210:ETA Scl
2219:47 Psc
2224:48 Psc
2247:BD-17 63
2353:12 Cet
2355:28 And
2472:LAM1 Phe
2474:13 Cas
2484:BET1 Tuc
2487:BET2 Tuc
2505:LAM Cas:14 Cas
2548:51 Psc
2568:52 Psc
2599:KAP Cas:15 Cas
2629:TET Tuc
2707:16 Cas
2762:13 Cet
2787:14 Cet
2802:LAM2 Phe
2903:53 Psc
2912:PI And:29 And
2920:ZET Cas:17 Cas
3031:EPS And:30 And
3092:DEL And:31 And
3093:54 Psc
3138:55 Psc
3179:Shedir:Schedar:ALF Cas:18 Cas
3231:32 And
3245:MU Phe
3277:XI Phe
3300:XI Cas:19 Cas
3330:RHO Tuc
3356:LAM1 Scl
3405:ETA Phe
3414:PI Cas:20 Cas
3419:Diphda:Deneb Kaitos:BET Cet:16 Cet
3455:PHI1 Cet:17 Cet
3456:LAM2 Scl
3504:OMI Cas:22 Cas
3559:18 Cet
3572:21 Cas
3632:57 Psc
3675:58 Psc
3685:59 Psc
3693:ZET And:34 And
3697:60 Psc
3721:23 Cas
3730:61 Psc
3760:62 Psc
3765:Gliese 33:Wolf 25
3781:LAM Hyi
3786:DEL Psc:63 Psc
3801:NU Cas:25 Cas
3810:64 Psc
3821:Achird:ETA Cas:24 Cas
3829:Van Maanen's Star:Van Maanen 2:Gliese 35:Wolf 28
3881:NU And:35 And
3885:65 Psc
3909:PHI2 Cet:19 Cet
3949:RHO Phe
4084:LAM1 Tuc
4147:20 Cet
4257:21 Cet
4267:66 Psc
4288:36 And
4292:UPS1 Cas:26 Cas
4293:LAM Tuc:LAM2 Tuc
4366:k Psc:67 Psc
4371:PHI3 Cet:22 Cet
4422:UPS2 Cas:28 Cas
4427:Tsih:GAM Cas:27 Cas
4436:MU And:37 And
4463:ETA And:38 And
4510:h Psc:68 Psc
4577:ALF Scl
4587:PHI4 Cet:23 Cet
4770:XI Scl
4852:SIG Scl
4889:SIG Psc:69 Psc
4903:39 And
4906:EPS Psc:71 Psc
4914:25 Cet
4979:26 Cet
5074:73 Psc
5081:72 Psc
5121:27 Cet
5131:PSI1 Psc A:74 Psc A
5132:PSI1 Psc B:74 Psc B
5141:77 Psc B
5144:77 Psc A
5164:28 Cet
5165:BET Phe
5204:75 Psc
5268:IOT Tuc
5296:30 Cet
5300:UPS Phe
5310:PSI2 Psc:79 Psc
5317:41 And
5319:78 Psc
5336:MU Cas:30 Cas:Gliese 53
5346:e Psc:80 Psc
5348:ZET Phe
5364:ETA Cet:31 Cet
5434:PHI And:42 And
5447:Mirach:BET And:43 And
