224889::Theta Oct
224935::30 Psc
225132::2 Cet
28::33 Psc
358:Alpheratz:Alpha And
432:Caph:Beta Cas
496::Epsilon Phe
571::22 And
720::Kappa2 Scl
739::Theta Scl
886:Algenib:Gamma Peg
1013::Chi Peg
1404::Sigma And
1522::Iota Cet
1581::Zeta Tuc
1635::41 Psc
1671::Rho And
2114::44 Psc
2151::Beta Hyi
2261:Ankaa:Alpha Phe
2436::48 Psc
2637::12 Cet
2834::Lambda1 Phe
2905::Kappa Cas
3369::Pi And
3360::Zeta Cas
3546::Epsilon And
3627::Delta And
3712:Schedar:Alpha Cas
3919::Mu Phe
4150::Eta Phe
4128:Diphda:Beta Cet
4211::Lambda2 Scl
4180::Omicron Cas
4161::21 Cas
4502::Zeta And
4628:96 G Psc:
4815::Lambda Hyi
4656::Delta Psc
4676::64 Psc
4727::Nu And
4813::Phi2 Cet
5112::20 Cet
5457::Lambda2 Tuc
5394::Gamma Cas
5448::Mu And
5575::68 Psc
5737::Alpha Scl
6178::Sigma Scl
6186::Epsilon Psc
6288::26 Cet
6397::72 Psc
6793::Iota Tuc
6582::Mu Cas
6805::Eta Cet
6860:Mirach:Beta And
7087::Chi Psc
7106::Tau Psc
7344::Zeta Psc
7804::89 Psc
7964::Upsilon Psc
8207::Xi And
8512::Theta Cet
8538:Ruchbah:Delta Cas
8491::Psi Cas
8763::94 Psc
8829::47 Cet
8799::Omg
9053::Gamma Phe
9132::48 Cet
9021::38 Cas
9270::Eta Psc
9826::Upsilon And
9919::Pi Psc
10144:Achernar:Alpha Eri
9927::51 And
9774::40 Cas
10380::Nu Psc
10537::Pi Scl
10221::43 Cas
10516::Phi Per
10700::Tau Cet
10761::Omicron Psc
10830::Epsilon Scl
10982::4 Ari
11171::Chi Cet
11353:Baten Kaitos:Zeta Cet
11291::2 Per
11443::Alpha Tri
11559::Xi Psc
11695::Psi Phe
11415::Epsilon Cas
11636:Sheratan:Beta Ari
11977::Eta2 Hyi
11937::Chi Eri
12311::Alpha Hyi
12274::Upsilon Cet
12303::4 Per
12216::50 Cas
12533:Almach:Gamma1 And
12767::Nu For
12929:Hamal:Alpha Ari
13161::Beta Tri
13325::15 Ari
13709::Mu For
13611::Xi1 Cet
13596::19 Ari
13474::55 Cas
13872::21 Ari
14228::Phi Eri
14129::67 Cet
14055::Gamma Tri
14191::Theta Ari
14212::62 And
15008::Delta Hyi
14802::Kappa For
15248::Kappa Hyi
15233::Lambda Hor
15130::Rho Cet
15371::Kappa Eri
15318::Xi2 Cet
15257::12 Tri
15596::27 Ari
16522::Mu Hyi
8890:Polaris:Alpha UMi
15798::Sigma Cet
15656::14 Tri
15975::Lambda1 For
16161::Nu Cet
16212::80 Cet
16160:268 g cet:
16432::Nu Ari
16582::Delta Cet
16978::Epsilon Hyi
16920::Zeta Hor
16815::Iota Eri
16908::35 Ari
16901::14 Per
17081::Pi Cet
16895::Theta Per
17094::Mu Cet
17652::Beta For
17573::41 Ari
17506::Eta Per
17824::Tau2 Eri
17769::Sigma Ari
17878::Tau Per
18322:Azha:Eta Eri
18404::47 Ari
18622:Acamar:Theta1 Eri
18449::24 Per
18604::Lambda Cet
19400::Theta Hyi
18884:Menkar:Alpha Cet
18978::Tau3 Eri
19319::Mu Hor
18925::Gamma Per
19058::Rho Per
19356:Algol:Beta Per
19373::Iota Per
19548::55 Ari
19787::Delta Ari
19994::94 Cet
20150::Zeta Ari
20320::Zeta Eri
21024::Iota Hyi
20630::Kappa Cet
20794:82 g Eri:
20756::Tau Ari
20902:Mirfak:Alpha Per
21120::Omicron Tau
21364::Xi Tau
22001::Kappa Ret
21552::Sigma Per
21790::17 Eri
21754::5 Tau
22049::Epsilon Eri
22203::Tau5 Eri
22470::20 Eri
22484::10 Tau
22789::Tau For
22805::11 Tau
23227::Delta For
22928::Delta Per
23249::Delta Eri
23817::Beta Ret
23363::24 Eri
23302:Electra:17 Tau
23230::Nu Per
23466::29 Tau
23754::Tau6 Eri
24512::Gamma Hyi
23630:Alcyone:Eta Tau
23850:Atlas:
23401::Gamma Cam
24398:Atik:Zeta Per
24760::Epsilon Per
25025:Zaurak:Gamma Eri
25422::Delta Ret
24912:Menkib:Xi Per
25204::Lambda Tau
25340::35 Eri
25490::Nu Tau
25642::Lambda Per
25940::48 Per
26162::43 Tau
26574:Beid:Omicron1 Eri
26967::Alpha Hor
27256::Alpha Ret
26630::Mu Per
26912::Mu Tau
27290::Gamma Dor
28525::Delta Men
27371::Gamma Tau
27348::54 Per
28093::Eta Ret
27697::Delta1 Tau
27861::Xi Eri
28028::43 Eri
28305::Epsilon Tau
28873::Delta Cae
28446::1 Cam
28704::57 Per
28910::Rho Tau
29305::Alpha Dor
29291::Upsilon2 Eri
29139:Aldebaran:Alpha Tau
29248::Nu Eri
29503::53 Eri
29875::Alpha Cae
29992::Beta Cae
29763::Tau Tau
30612::Mu Men
30076::56 Eri
30211::Mu Eri
30121::4 Cam
30652::Pi3 Ori
30836::Pi4 Ori
30780::97 Tau
30959::Omicron1 Ori
30614::Alpha Cam
31237::Pi5 Ori
32440::Eta Men
31398::Iota Aur
34172::Xi Men
31964::Epsilon Aur
32068::Zeta Aur
32301::Iota Tau
31910::Beta Cam
32549::11 Ori
33042::Eta2 Pic
32887::Epsilon Lep
33262::Zeta Dor
32630::Eta Aur
33111:Cursa:Beta Eri
33328::Lambda Eri
33254::16 Ori
33904::Mu Lep
33641::Mu Aur
34649::Theta Dor
34085:Rigel:Beta Ori
34029:Capella:Alpha Aur
34642::Omicron Col
34503::Tau Ori
34411::Lambda Aur
35072::Zeta Pic
34816::Lambda Lep
35039::22 Ori
35468:Bellatrix:Gamma Ori
35497:Elnath:Beta Tau
35671::115 Tau
36079:Nihal:Beta Lep
35583::17 Cam
37763::Gamma Men
36486:Mintaka:Delta Ori
36066::18 Cam
36371::Chi Aur
36673:Arneb:Alpha Lep
37350::Beta Dor
36822::Phi1 Ori
37043::Iota Ori
37128:Alnilam:Epsilon Ori
37202::Zeta Tau
37795:Phact:Alpha Col
38393::Gamma Lep
39014::Delta Dor
38104::Omicron Aur
38678::Zeta Lep
38558::130 Tau
38771:Saiph:Kappa Ori
39523::Gamma Pic
39425:Wazn:Beta Col
39364::Delta Lep
39003::Nu Aur
39357::136 Tau
39283::Xi Aur
39801:Betelgeuse:Alpha Ori
40136::Eta Lep
40494::Gamma Col
40446::60 Ori
40808::Eta Col
40035::Delta Aur
40183:Menkalinan:Beta Aur
41116::1 Gem
41380::66 Ori
41753::Nu Ori
43107::Nu Dor
43834::Alpha Men
42933::Delta Pic
41927::36 Cam
43039::Kappa Aur
43386::74 Ori
43785::Kappa Col
43378::2 Lyn
44112::7 Mon
44402:Furud:Zeta CMa
44743:Mirzam:Beta CMa
44478::Mu Gem
44769::8 Mon
45348:Canopus:Alpha Car
44537::Psi1 Aur
45546::10 Mon
45542::Nu Gem
46300::13 Mon
46933::Xi2 CMa
46480::8 Lyn
47105:Alhena:Gamma Gem
47670::Nu Pup
47070::51 Aur
50506::Zeta Men
48329:Mebsuta:Epsilon Gem
48915:Sirius:Alpha CMa
48737::Xi Gem
48977::16 Mon
48682::Psi5 Aur
48781::Psi6 Aur
49293::18 Mon
50241::Alpha Pic
50013::Kappa CMa
50310::Tau Pup
51557::Iota Vol
50019::Theta Gem
49340::43 Cam
50778::Theta CMa
52089:Adhara:Epsilon CMa
52877::Sigma CMa
52497::Omg
53138::Omicron2 CMa
53244::Gamma CMa
52973::Zeta Gem
54605::Delta CMa
55865::Gamma2 Vol
54810::20 Mon
54716::63 Aur
55185::Delta Mon
55383:Bq Gem:51 Gem
57623::Delta Vol
56855::Pi Pup
56221::64 Aur
56537::Lambda Gem
56986:Wasat:Delta Gem
57103::19 Lyn
58350:Aludra:Eta CMa
